N,t,CD_mse,DS_mse,GPA_CD_mse,GPA_DS_mse,CD_time,DS_time,GPA_CD_time,GPA_DS_time
100,0,0.14088347434997558,0.021111757755279542,0.1401348304748535,0.02108504295349121,0.18337705612182617,0.18472447633743286,0.0009976935386657715,0.0006885051727294922
100,1,0.13477401733398436,0.019360045194625853,0.13415501594543458,0.0193005633354187,0.206298131942749,0.2075917649269104,0.0007331347465515136,0.000684196949005127
100,2,0.15149842262268065,0.021279027462005617,0.15077943801879884,0.02124729871749878,0.2052335524559021,0.20644508361816405,0.0007234573364257813,0.0006774592399597167
100,3,0.13805006980895995,0.019697914123535155,0.13735708236694336,0.019643930196762086,0.2042435050010681,0.2054477620124817,0.0007222914695739747,0.0006756758689880371
100,4,0.13728984832763672,0.02040210962295532,0.13667540550231932,0.020314149856567383,0.2046906328201294,0.2058929181098938,0.0007207417488098145,0.0006752824783325196
100,5,0.15134440422058104,0.022287430763244628,0.15050622940063477,0.022051572799682617,0.20499073028564452,0.2061862587928772,0.0007248044013977051,0.000679020881652832
100,6,0.1357103157043457,0.0197863233089447,0.1351164150238037,0.01965034246444702,0.2061861801147461,0.20739327907562255,0.000720221996307373,0.0006768608093261719
100,7,0.1423397731781006,0.020586271286010743,0.14158132553100586,0.02055025815963745,0.20618363618850707,0.20738911867141724,0.0007197070121765137,0.0006765460968017578
100,8,0.1296895217895508,0.019151520729064942,0.1290445613861084,0.019059524536132813,0.20563338756561278,0.20684584617614746,0.000723114013671875,0.0006801486015319824
100,9,0.12857812881469727,0.019662550687789916,0.12803241729736328,0.019674026966094972,0.20604934692382812,0.20724973678588868,0.0007187986373901367,0.0006770443916320801
100,10,0.13331125259399415,0.021135387420654298,0.13258392333984376,0.020831499099731445,0.20470410346984863,0.205904221534729,0.0007203030586242676,0.0006758189201354981
100,11,0.13259568214416503,0.019912254810333253,0.13208281517028808,0.019891968965530395,0.20806847095489503,0.20927570104599,0.0007271885871887207,0.0006814169883728028
100,12,0.12775001525878907,0.019446542263031007,0.12706005096435546,0.019291372299194337,0.20543164253234864,0.20663217306137086,0.0007204055786132812,0.0006773710250854492
100,13,0.13293540954589844,0.01915545344352722,0.13229958534240724,0.019196288585662843,0.20561817169189453,0.20680912256240844,0.0007169842720031738,0.0006764435768127441
100,14,0.1461910152435303,0.020998661518096925,0.14561534881591798,0.020934078693389892,0.2062641930580139,0.20745929479598998,0.0007199263572692871,0.0006775712966918945
100,15,0.13353297233581543,0.02077061653137207,0.13268644332885743,0.020307903289794923,0.20605262517929077,0.20724596500396728,0.0007187080383300781,0.0006765055656433105
100,16,0.1366988468170166,0.02103301286697388,0.1358066463470459,0.020821213722229004,0.20590137720108032,0.20709669828414917,0.0007219409942626953,0.0006766462326049805
100,17,0.11776541709899903,0.016923896074295043,0.11731860160827637,0.01693173885345459,0.20541691064834594,0.20660772562026977,0.0007230639457702637,0.0006765007972717285
100,18,0.1330806064605713,0.01983851432800293,0.13259271621704102,0.01982571363449097,0.20586876392364503,0.20706704378128052,0.0007194685935974121,0.0006749725341796875
100,19,0.12929994583129883,0.020671191215515135,0.12857906341552736,0.02040832281112671,0.20628371477127075,0.20748456001281737,0.0007186436653137207,0.0006793045997619629
100,20,0.13323610305786132,0.019716335535049437,0.13276138305664062,0.019765806198120118,0.2135804510116577,0.21490250110626222,0.0007375478744506836,0.0006890177726745605
100,21,0.12689754486083984,0.01872653841972351,0.12623910903930663,0.018643754720687866,0.20540305376052856,0.2066220784187317,0.0007238888740539551,0.0006769943237304687
100,22,0.1353357219696045,0.019909716844558716,0.13466485023498534,0.019786343574523926,0.20771723985671997,0.20895163536071779,0.0007260203361511231,0.0006812572479248047
100,23,0.15566774368286132,0.02220963954925537,0.15486431121826172,0.022110657691955568,0.2092430853843689,0.21055288791656493,0.0007365536689758301,0.0006856608390808105
100,24,0.13010398864746095,0.018306815624237062,0.12957653999328614,0.018301432132720948,0.20871644973754883,0.2099257802963257,0.0007262015342712402,0.0006844758987426758
100,25,0.14321314811706543,0.021774916648864745,0.1423570728302002,0.021433563232421876,0.20601372957229613,0.2072105312347412,0.0007199859619140625,0.0006774067878723145
100,26,0.14314552307128905,0.020262718200683594,0.1427217483520508,0.020290358066558836,0.20683966875076293,0.20807523965835573,0.0007428908348083496,0.0006862688064575195
100,27,0.14236190795898437,0.02045390844345093,0.14157045364379883,0.02038016080856323,0.20757364511489867,0.20876791715621948,0.0007214188575744629,0.000678250789642334
100,28,0.13196727752685547,0.019142627716064453,0.13124317169189453,0.019090847969055177,0.20742188453674315,0.20862846612930297,0.00072005033493042,0.0006768870353698731
100,29,0.14103689193725585,0.021031255722045897,0.1404798698425293,0.02106508731842041,0.2078277611732483,0.20905234813690185,0.0007238340377807617,0.0006795287132263184
100,30,0.128436279296875,0.018721024990081787,0.12799686431884766,0.01870846152305603,0.20796142101287843,0.20916669368743895,0.0007213878631591796,0.0006794571876525879
100,31,0.14224315643310548,0.020722177028656006,0.1416098117828369,0.020670549869537355,0.20734176874160767,0.20854419946670533,0.0007219791412353515,0.0006763792037963867
100,32,0.13208242416381835,0.019499502182006835,0.13137347221374512,0.019284393787384033,0.20792794466018677,0.2091423773765564,0.0007253098487854004,0.0006806659698486328
100,33,0.13904488563537598,0.02097360372543335,0.13814563751220704,0.0206056809425354,0.20760732412338256,0.20881192445755004,0.0007208418846130371,0.0006791138648986816
100,34,0.12420845985412597,0.01938965082168579,0.12354312896728516,0.019280428886413573,0.20829974889755248,0.2095071530342102,0.0007214879989624023,0.0006800007820129395
